,agency_name,agency_type_name,county_name,division_name,latitude,longitude,nibrs,ori,region_desc,region_name,state_abbr,state_name
12168,Baltimore Police Department,City,FAIRFIELD,East North Central,39.84559,-82.60572,1.0,OH0230300,Region II,Midwest,OH,Ohio
12169,Port Clinton Police Department,City,OTTAWA,East North Central,41.514824,-82.91248,1.0,OH0620200,Region II,Midwest,OH,Ohio
12170,Wright State University,University or College,GREENE,East North Central,39.753736,-84.290591,0.0,OH0291200,Region II,Midwest,OH,Ohio
12171,Chesapeake Police Department,City,LAWRENCE,East North Central,38.603866,-82.517186,0.0,OH0440400,Region II,Midwest,OH,Ohio
12172,Byesville Police Department,City,GUERNSEY,East North Central,40.056665,-81.497875,0.0,OH0300200,Region II,Midwest,OH,Ohio
12173,Republic Police Department,City,SENECA,East North Central,41.120008,-83.127436,0.0,OH0740800,Region II,Midwest,OH,Ohio
12174,Seville Police Department,City,MEDINA,East North Central,41.026485,-81.860016,0.0,OH0520900,Region II,Midwest,OH,Ohio
12175,Hamilton County Sheriff's Office,County,HAMILTON,East North Central,39.196927,-84.544187,0.0,OH0310000,Region II,Midwest,OH,Ohio
12176,Bay View Police Department,City,ERIE,East North Central,41.442898,-82.81316,0.0,OH0220500,Region II,Midwest,OH,Ohio
12177,Fowler Police Department,City,TRUMBULL,East North Central,41.308936,-80.767656,0.0,OH0782400,Region II,Midwest,OH,Ohio
12178,Berea Police Department,City,CUYAHOGA,East North Central,41.365406,-81.85345,0.0,OH0180600,Region II,Midwest,OH,Ohio
12179,Springboro Police Department,City,MONTGOMERY; WARREN,East North Central,39.55903,-84.24074,1.0,OH0831400,Region II,Midwest,OH,Ohio
12180,Woodsfield Police Department,City,MONROE,East North Central,39.725969,-81.090658,0.0,OH0560100,Region II,Midwest,OH,Ohio
12181,Obetz Police Department,City,FRANKLIN,East North Central,39.969575,-83.006863,0.0,OH0252300,Region II,Midwest,OH,Ohio
12182,Tipp City Police Department,City,MIAMI,East North Central,39.95825,-84.18596,1.0,OH0550300,Region II,Midwest,OH,Ohio
12183,"Oakwood Police Department, Montgomery County",City,MONTGOMERY,East North Central,,,0.0,OH0571000,Region II,Midwest,OH,Ohio
12184,Marysville Police Department,City,UNION,East North Central,40.235283,-83.36669,1.0,OH0800100,Region II,Midwest,OH,Ohio
12185,Fort Recovery Police Department,City,MERCER,East North Central,40.535333,-84.632059,0.0,OH0540500,Region II,Midwest,OH,Ohio
12186,Hebron Police Department,City,LICKING,East North Central,40.093609,-82.481251,0.0,OH0450800,Region II,Midwest,OH,Ohio
12187,Owensville Police Department,City,CLERMONT,East North Central,39.052084,-84.149614,1.0,OH0131200,Region II,Midwest,OH,Ohio
12188,Hardin County Sheriff's Office,County,HARDIN,East North Central,40.636177,-83.60359,1.0,OH0330000,Region II,Midwest,OH,Ohio
12189,Stark County Sheriff's Office,County,STARK,East North Central,40.814131,-81.365667,1.0,OH0760000,Region II,Midwest,OH,Ohio
12190,Chardon Police Department,City,GEAUGA,East North Central,41.580936,-81.204544,0.0,OH0280100,Region II,Midwest,OH,Ohio
12191,Worthington Police Department,City,FRANKLIN,East North Central,40.09718,-83.01616,1.0,OH0251200,Region II,Midwest,OH,Ohio
12192,Norwood Police Department,City,HAMILTON,East North Central,39.161926,-84.45553,1.0,OH0312800,Region II,Midwest,OH,Ohio
12193,Athens County Sheriff's Office,County,ATHENS,East North Central,39.329216,-82.10181,1.0,OH0050000,Region II,Midwest,OH,Ohio
12194,Empire Police Department,City,JEFFERSON,East North Central,40.39938,-80.763529,0.0,OH0411200,Region II,Midwest,OH,Ohio
12195,Batavia Police Department,City,CLERMONT,East North Central,39.075428,-84.17537,1.0,OH0130100,Region II,Midwest,OH,Ohio
12196,North Canton Police Department,City,STARK,East North Central,40.814131,-81.365667,1.0,OH0761100,Region II,Midwest,OH,Ohio
12197,Lucas County Sheriff's Office,County,LUCAS,East North Central,41.656345,-83.537285,1.0,OH0480000,Region II,Midwest,OH,Ohio
12198,Willard Police Department,City,HURON,East North Central,41.14508,-82.594641,1.0,OH0390300,Region II,Midwest,OH,Ohio
12199,"Bath Township Police Department, Summit County",City,SUMMIT,East North Central,41.168983,-81.63615,1.0,OH0772000,Region II,Midwest,OH,Ohio
12200,Bainbridge Township Police Department,City,GEAUGA,East North Central,41.38594,-81.34391,1.0,OH0281200,Region II,Midwest,OH,Ohio
12201,Andover Police Department,City,ASHTABULA,East North Central,41.906644,-80.745641,0.0,OH0040400,Region II,Midwest,OH,Ohio
12202,Elyria Police Department,City,LORAIN,East North Central,41.369877,-82.11018,1.0,OH0470400,Region II,Midwest,OH,Ohio
12203,Trenton Police Department,City,BUTLER,East North Central,39.439747,-84.565734,0.0,OH0090900,Region II,Midwest,OH,Ohio
12204,Bexley Police Department,City,FRANKLIN,East North Central,39.98155,-82.92914,1.0,OH0250100,Region II,Midwest,OH,Ohio
12205,Ohio Investigative Unit,Other State Agency,,East North Central,39.956085,-83.051865,0.0,OH0254700,Region II,Midwest,OH,Ohio
12206,Bolivar Police Department,City,TUSCARAWAS,East North Central,40.447441,-81.471157,1.0,OH0790900,Region II,Midwest,OH,Ohio
12207,Sebring Police Department,City,MAHONING,East North Central,40.92326,-81.01819,1.0,OH0500700,Region II,Midwest,OH,Ohio
12208,Medina Township Police Department,City,MEDINA,East North Central,41.171608,-81.828995,1.0,OH0521400,Region II,Midwest,OH,Ohio
12209,Hocking College,University or College,ATHENS,East North Central,39.442284,-82.22203,0.0,OH0051100,Region II,Midwest,OH,Ohio
12210,Eaton Police Department,City,PREBLE,East North Central,39.737906,-84.645358,0.0,OH0680100,Region II,Midwest,OH,Ohio
12211,Indian Hill Police Department,City,HAMILTON,East North Central,39.18146,-84.34535,0.0,OH0311700,Region II,Midwest,OH,Ohio
12212,Kent Police Department,City,PORTAGE,East North Central,41.16864,-81.196932,0.0,OH0670300,Region II,Midwest,OH,Ohio
12213,Waterville Police Department,City,LUCAS,East North Central,41.499577,-83.71851,1.0,OH0481100,Region II,Midwest,OH,Ohio
12214,Lawrence Township Police Department,City,STARK,East North Central,40.814131,-81.365667,1.0,OH0762200,Region II,Midwest,OH,Ohio
